symbol,report_date,period_type,statement_type,item_code,item_name_cn,item_name_en,value,unit,currency,source_doc,source_page,source_section,is_derived,quality_flag,note,updated_at
02618.HK,2021-12-31,FY,segment_metric,revenue_integrated_supply_chain,一体化供应链客户收入,Revenue from integrated supply chain customers,71054463,RMB'000,CNY,2022042901290.pdf,"137,8,9",Notes to the Consolidated Financial Statements / Integrated supply chain customers,false,reported,Directly reported integrated supply chain customer revenue.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,payables_3_to_6m,应付账款账龄3至6个月,Trade payables 3 to 6 months,226395,RMB'000,CNY,2022042901290.pdf,168,Trade payables aging analysis,false,reported,3 to 6 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,payables_6_to_12m,应付账款账龄6至12个月,Trade payables 6 to 12 months,57111,RMB'000,CNY,2022042901290.pdf,168,Trade payables aging analysis,false,reported,6 to 12 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,payables_over_12m,应付账款账龄超过12个月,Trade payables over 12 months,69923,RMB'000,CNY,2022042901290.pdf,168,Trade payables aging analysis,false,reported,Over 12 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,payables_within_3m,应付账款账龄3个月内,Trade payables within 3 months,6419263,RMB'000,CNY,2022042901290.pdf,168,Trade payables aging analysis,false,reported,Within 3 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,receivables_3_to_6m,应收账款账龄3至6个月,Trade receivables 3 to 6 months,220533,RMB'000,CNY,2022042901290.pdf,157,Trade receivables aging analysis,false,reported,3 to 6 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,receivables_6_to_12m,应收账款账龄6至12个月,Trade receivables 6 to 12 months,109657,RMB'000,CNY,2022042901290.pdf,157,Trade receivables aging analysis,false,reported,6 to 12 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,receivables_loss_allowance,应收账款减值准备,Allowance for credit losses of trade receivables,316249,RMB'000,CNY,2022042901290.pdf,157,Trade receivables,false,reported,Allowance for credit losses deducted from gross trade receivables.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,receivables_over_12m,应收账款账龄超过12个月,Trade receivables over 12 months,109940,RMB'000,CNY,2022042901290.pdf,157,Trade receivables aging analysis,false,reported,Over 12 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,receivables_within_3m,应收账款账龄3个月内,Trade receivables within 3 months,12040147,RMB'000,CNY,2022042901290.pdf,157,Trade receivables aging analysis,false,reported,Within 3 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2021-12-31,FY,working_capital_note,supplier_finance_arrangements,供应商金融安排项下应付账款,Trade payables under supplier financing arrangements,478769,RMB'000,CNY,2022042901290.pdf,168,Trade payables under supplier financing arrangements,false,reported,Amount of trade payables under supplier financing arrangements.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,borrowings,借款,Borrowings,6408764,RMB'000,CNY,2023030900418.pdf,"29,33",Borrowings / Consolidated Statement of Financial Position,true,derived_sum,"Derived as non-current borrowings 5,108,162 plus current borrowings 1,300,602.",2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,cash_and_cash_equivalents,现金及现金等价物,Cash and cash equivalents,21495352,RMB'000,CNY,2023030900418.pdf,"25,32,34",Liquidity and Capital Resources / Consolidated Statement of Financial Position / Consolidated Statement of Cash Flows,false,reported,Directly reported year-end cash and cash equivalents.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,current_assets,流动资产合计,Total current assets,57604157,RMB'000,CNY,2023030900418.pdf,32,Consolidated Statement of Financial Position,false,reported,Directly reported total current assets.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,current_liabilities,流动负债合计,Total current liabilities,34246227,RMB'000,CNY,2023030900418.pdf,33,Consolidated Statement of Financial Position,false,reported,Directly reported total current liabilities.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,inventories,存货,Inventories,647445,RMB'000,CNY,2023030900418.pdf,32,Consolidated Statement of Financial Position,false,reported,Directly reported inventories.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,lease_liabilities,租赁负债,Lease liabilities,17365525,RMB'000,CNY,2023030900418.pdf,33,Consolidated Statement of Financial Position,true,derived_sum,"Derived as non-current lease liabilities 10,502,864 plus current lease liabilities 6,862,661.",2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,restricted_cash,受限现金,Restricted cash,237753,RMB'000,CNY,2023030900418.pdf,"29,32",Pledge of Assets / Consolidated Statement of Financial Position,false,reported,Restricted cash balance at year end.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,term_deposits,定期存款,Term deposits,12660868,RMB'000,CNY,2023030900418.pdf,"26,32",Net cash used in investing activities / Consolidated Statement of Financial Position,false,reported,Directly reported term deposits.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,total_assets,资产总计,Total assets,106697271,RMB'000,CNY,2023030900418.pdf,32,Consolidated Statement of Financial Position,false,reported,Directly reported total assets.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,total_equity,权益总计,Total equity,53208561,RMB'000,CNY,2023030900418.pdf,33,Consolidated Statement of Financial Position,false,reported,Directly reported total equity.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,total_liabilities,负债总计,Total liabilities,53488710,RMB'000,CNY,2023030900418.pdf,33,Consolidated Statement of Financial Position,false,reported,Directly reported total liabilities.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,trade_payables,应付账款,Trade payables,9099869,RMB'000,CNY,2023030900418.pdf,"33,39",Consolidated Statement of Financial Position / Trade payables,false,reported,Total trade payables including supplier financing arrangements component.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,balance_sheet,trade_receivables,应收账款,Trade receivables,14935066,RMB'000,CNY,2023030900418.pdf,"32,38",Consolidated Statement of Financial Position / Trade receivables,false,reported,Year-end carrying amount after allowance for credit losses.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,cash_flow,capex_net,资本开支净额,Capital expenditures net of related proceeds from disposals,4700000,RMB'000,CNY,2023030900418.pdf,26,Net cash used in investing activities,false,rounded_narrative,Narrative disclosure states capital expenditures of RMB4.7 billion.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,cash_flow,financing_cash_flow,筹资活动现金流量净额,Net cash generated from financing activities,1480998,RMB'000,CNY,2023030900418.pdf,"25,26,27,34",Liquidity and Capital Resources / Net cash generated from financing activities / Consolidated Statement of Cash Flows,false,reported,Directly reported financing cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,cash_flow,free_cash_inflow,自由现金流入,Free cash inflow,8600000,RMB'000,CNY,2023030900418.pdf,21,Business Review,false,rounded_narrative,Narrative disclosure states free cash inflow reached RMB8.6 billion in 2022.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,cash_flow,investing_cash_flow,投资活动现金流量净额,Net cash used in investing activities,-13107418,RMB'000,CNY,2023030900418.pdf,"25,26,34",Liquidity and Capital Resources / Net cash used in investing activities / Consolidated Statement of Cash Flows,false,reported,Directly reported investing cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,cash_flow,operating_cash_flow,经营活动现金流量净额,Net cash generated from operating activities,13314224,RMB'000,CNY,2023030900418.pdf,"25,26,34",Liquidity and Capital Resources / Net cash generated from operating activities / Consolidated Statement of Cash Flows,false,reported,Directly reported operating cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,operating_metric,external_isc_arpc,外部一体化供应链客户ARPC,ARPC of external integrated supply chain customers,365015,RMB/customer,CNY,2023030900418.pdf,"4,6,20",Business Review / Integrated supply chain customers,false,reported,Directly disclosed ARPC.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,operating_metric,external_isc_customer_count,外部一体化供应链客户数,External integrated supply chain customer count,79928,customers,N/A,2023030900418.pdf,"4,6,20",Business Review / Integrated supply chain customers,false,reported,Directly disclosed customer count.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,revenue_breakdown,revenue_external,来自外部客户收入,Revenue from external customers,89140998,RMB'000,CNY,2023030900418.pdf,"2,20",CEO Statement / Revenue breakdown by JD Group and others,false,reported,Directly reported revenue from others/external customers.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,revenue_breakdown,revenue_jd_group,来自京东集团收入,Revenue from JD Group,48261010,RMB'000,CNY,2023030900418.pdf,20,Revenue breakdown by JD Group and others,false,reported,Directly reported revenue from JD Group.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,segment_metric,revenue_external_integrated_supply_chain,外部一体化供应链客户收入,Revenue from external integrated supply chain customers,29175000,RMB'000,CNY,2023030900418.pdf,7,External integrated supply chain customers,true,derived_sum,"Derived as RMB15,271 million plus RMB13,904 million from customer buckets in external integrated supply chain customer table.",2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,segment_metric,revenue_integrated_supply_chain,一体化供应链客户收入,Revenue from integrated supply chain customers,77435959,RMB'000,CNY,2023030900418.pdf,"19,36",Revenue breakdown by integrated supply chain customers and other customers / Revenue,false,reported,Directly reported integrated supply chain customer revenue.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,payables_3_to_6m,应付账款账龄3至6个月,Trade payables 3 to 6 months,367572,RMB'000,CNY,2023030900418.pdf,39,Trade payables aging analysis,false,reported,3 to 6 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,payables_6_to_12m,应付账款账龄6至12个月,Trade payables 6 to 12 months,153678,RMB'000,CNY,2023030900418.pdf,39,Trade payables aging analysis,false,reported,6 to 12 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,payables_over_12m,应付账款账龄超过12个月,Trade payables over 12 months,175488,RMB'000,CNY,2023030900418.pdf,39,Trade payables aging analysis,false,reported,Over 12 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,payables_within_3m,应付账款账龄3个月内,Trade payables within 3 months,8403131,RMB'000,CNY,2023030900418.pdf,39,Trade payables aging analysis,false,reported,Within 3 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,receivables_3_to_6m,应收账款账龄3至6个月,Trade receivables 3 to 6 months,239433,RMB'000,CNY,2023030900418.pdf,38,Trade receivables aging analysis,false,reported,3 to 6 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,receivables_6_to_12m,应收账款账龄6至12个月,Trade receivables 6 to 12 months,131484,RMB'000,CNY,2023030900418.pdf,38,Trade receivables aging analysis,false,reported,6 to 12 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,receivables_loss_allowance,应收账款减值准备,Allowance for credit losses of trade receivables,517776,RMB'000,CNY,2023030900418.pdf,38,Trade receivables,false,reported,Allowance for credit losses deducted from gross trade receivables.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,receivables_over_12m,应收账款账龄超过12个月,Trade receivables over 12 months,243247,RMB'000,CNY,2023030900418.pdf,38,Trade receivables aging analysis,false,reported,Over 12 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,receivables_within_3m,应收账款账龄3个月内,Trade receivables within 3 months,14838678,RMB'000,CNY,2023030900418.pdf,38,Trade receivables aging analysis,false,reported,Within 3 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2022-12-31,FY,working_capital_note,supplier_finance_arrangements,供应商金融安排项下应付账款,Trade payables under supplier financing arrangements,50708,RMB'000,CNY,2023030900418.pdf,39,Trade payables under supplier financing arrangements,false,reported,Amount of trade payables under supplier financing arrangements.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,borrowings,借款,Borrowings,9965326,RMB'000,CNY,2024042600786.pdf,"23,166",Gearing Ratio / Borrowings,true,derived_sum,"Derived as non-current borrowings 5,345,000 plus current borrowings 4,620,326.",2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,cash_and_cash_equivalents,现金及现金等价物,Cash and cash equivalents,17207027,RMB'000,CNY,2024042600786.pdf,"22,154",Liquidity and Free Cash Flow / Cash and bank balances,false,reported,Directly reported year-end cash and cash equivalents.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,contract_assets,合同资产,Contract assets,343436,RMB'000,CNY,2024042600786.pdf,101,Consolidated Statement of Financial Position,false,reported,Directly reported contract assets at year end.,2026-03-23T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,current_assets,流动资产合计,Total current assets,56658422,RMB'000,CNY,2024042600786.pdf,101,Consolidated Statement of Financial Position,false,reported,Directly reported total current assets.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,current_liabilities,流动负债合计,Total current liabilities,39331400,RMB'000,CNY,2024042600786.pdf,102,Consolidated Statement of Financial Position,false,reported,Directly reported total current liabilities.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,inventories,存货,Inventories,624288,RMB'000,CNY,2024042600786.pdf,101,Consolidated Statement of Financial Position,false,reported,Directly reported inventories.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,lease_liabilities,租赁负债,Lease liabilities,17287201,RMB'000,CNY,2024042600786.pdf,"102,167",Consolidated Statement of Financial Position / Lease liabilities,true,derived_sum,"Derived as non-current lease liabilities 10,180,823 plus current lease liabilities 7,106,378.",2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,restricted_cash,受限现金,Restricted cash,193960,RMB'000,CNY,2024042600786.pdf,"24,154",Pledge of Assets / Cash and bank balances,false,reported,Restricted cash balance at year end; page 24 separately notes pledged restricted cash of RMB194.0 million.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,term_deposits,定期存款,Term deposits,7714757,RMB'000,CNY,2024042600786.pdf,"21,154",Liquidity and Free Cash Flow / Cash and bank balances,false,reported,Directly reported term deposits.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,total_assets,资产总计,Total assets,112901717,RMB'000,CNY,2024042600786.pdf,101,Consolidated Statement of Financial Position,false,reported,Directly reported total assets.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,total_equity,权益总计,Total equity,55373635,RMB'000,CNY,2024042600786.pdf,101,Consolidated Statement of Financial Position,false,reported,Directly reported total equity.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,total_liabilities,负债总计,Total liabilities,57528082,RMB'000,CNY,2024042600786.pdf,102,Consolidated Statement of Financial Position,false,reported,Directly reported total liabilities.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,trade_payables,应付账款,Trade payables,8729612,RMB'000,CNY,2024042600786.pdf,"102,164",Consolidated Statement of Financial Position / Trade payables,false,reported,Total trade payables including supplier finance arrangements component.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,balance_sheet,trade_receivables,应收账款,Trade receivables,14709125,RMB'000,CNY,2024042600786.pdf,"101,152",Consolidated Statement of Financial Position / Trade receivables,false,reported,Year-end carrying amount including receivables at amortized cost and FVTOCI.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,cash_flow,capex_net,资本开支净额,Capital expenditures net of related proceeds from disposals,5100000,RMB'000,CNY,2024042600786.pdf,"22,23",Liquidity and Free Cash Flow / Net cash used in investing activities,false,rounded_narrative,Narrative disclosure states capital expenditures of RMB5.1 billion.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,cash_flow,financing_cash_flow,筹资活动现金流量净额,Net cash used in financing activities,-5546825,RMB'000,CNY,2024042600786.pdf,"22,23,106",Liquidity and Free Cash Flow / Net cash used in financing activities / Consolidated Statement of Cash Flows,false,reported,Directly reported financing cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,cash_flow,free_cash_inflow,自由现金流入,Free cash inflow,2800000,RMB'000,CNY,2024042600786.pdf,22,Liquidity and Free Cash Flow,false,rounded_narrative,Narrative disclosure states free cash inflow of RMB2.8 billion.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,cash_flow,investing_cash_flow,投资活动现金流量净额,Net cash used in investing activities,-15099215,RMB'000,CNY,2024042600786.pdf,"22,23,105",Liquidity and Free Cash Flow / Net cash used in investing activities / Consolidated Statement of Cash Flows,false,reported,Directly reported investing cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,cash_flow,operating_cash_flow,经营活动现金流量净额,Net cash generated from operating activities,16352016,RMB'000,CNY,2024042600786.pdf,"22,105",Liquidity and Free Cash Flow / Consolidated Statement of Cash Flows,false,reported,Directly reported operating cash flow.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,operating_metric,external_isc_arpc,外部一体化供应链客户ARPC,ARPC of external integrated supply chain customers,420363,RMB/customer,CNY,2024042600786.pdf,17,Management Discussion and Analysis,false,reported,Directly disclosed ARPC.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,operating_metric,external_isc_customer_count,外部一体化供应链客户数,External integrated supply chain customer count,74714,customers,N/A,2024042600786.pdf,9,Integrated Supply Chain Logistics Solutions and Services,false,reported,Directly disclosed customer count.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,revenue_breakdown,revenue_external,来自外部客户收入,Revenue from external customers,116561347,RMB'000,CNY,2024042600786.pdf,18,Revenue breakdown by JD Group and others,false,reported,Directly reported revenue from others/external customers.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,revenue_breakdown,revenue_jd_group,来自京东集团收入,Revenue from JD Group,50063365,RMB'000,CNY,2024042600786.pdf,18,Revenue breakdown by JD Group and others,false,reported,Directly reported revenue from JD Group.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,segment_metric,revenue_external_integrated_supply_chain,外部一体化供应链客户收入,Revenue from external integrated supply chain customers,31407000,RMB'000,CNY,2024042600786.pdf,"8,9",Management Discussion and Analysis,true,derived_sum,"Derived as RMB17,624 million plus RMB13,783 million from two external ISC customer buckets.",2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,segment_metric,revenue_integrated_supply_chain,一体化供应链客户收入,Revenue from integrated supply chain customers,81470338,RMB'000,CNY,2024042600786.pdf,17,Revenue breakdown by integrated supply chain customers and other customers,false,reported,Directly reported integrated supply chain customer revenue.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,payables_3_to_6m,应付账款账龄3至6个月,Trade payables from 3 to 6 months,510869,RMB'000,CNY,2024042600786.pdf,165,Trade payables aging analysis,false,reported,3 to 6 months bucket in trade payables aging table.,2026-03-23T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,payables_6_to_12m,应付账款账龄6至12个月,Trade payables from 6 to 12 months,152827,RMB'000,CNY,2024042600786.pdf,165,Trade payables aging analysis,false,reported,6 to 12 months bucket in trade payables aging table.,2026-03-23T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,payables_over_12m,应付账款账龄超过12个月,Trade payables over 12 months,280362,RMB'000,CNY,2024042600786.pdf,165,Trade payables aging analysis,false,reported,Over 12 months bucket in trade payables aging table.,2026-03-21T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,payables_within_3m,应付账款账龄3个月以内,Trade payables within 3 months,7785554,RMB'000,CNY,2024042600786.pdf,165,Trade payables aging analysis,false,reported,Within 3 months bucket in trade payables aging table.,2026-03-23T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,receivables_3_to_6m,应收账款账龄3至6个月,Trade receivables from 3 to 6 months,166909,RMB'000,CNY,2024042600786.pdf,152,Trade receivables aging analysis,false,reported,3 to 6 months bucket in trade receivables aging table.,2026-03-23T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,receivables_6_to_12m,应收账款账龄6至12个月,Trade receivables from 6 to 12 months,162699,RMB'000,CNY,2024042600786.pdf,152,Trade receivables aging analysis,false,reported,6 to 12 months bucket in trade receivables aging table.,2026-03-23T00:00:00+08:00
02618.HK,2023-12-31,FY,working_capital_note,receivables_over_12m,应收账款账龄超过12个月,Trade receivables over 12 months,210871,RMB'000,CNY,2024042600786.pdf,152,Trade receivables aging analysis,false,reported,Over 12 months bucket in trade receivables aging table.,2026-03-21T00:00:00+08:00
